customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
C1,58.0,Male,North,Graduate,Self-Employed,118288.57,Pending,Car,661.5,2,60,17.66,2015-02-23,1
C2,,Male,East,Graduate,Self-Employed,95832.28,"₹224,657",Medical,598.8,6,101,19.56,2023-02-10,1
C3,30.0,Female,North,Primary,Self-Employed,370042.99,"₹133,743",Other,643.8,0,57,22.62,2021-01-20,0
C4,62.0,Female,South,Graduate,Salaried,353797.46,"₹130,759",Other,605.8,0,98,19.99,2020-11-22,0
C5,,Male,West,Graduate,Self-Employed,482108.54,"₹158,491",Other,615.2,1,60,121.41,2017-07-27,0
C6,52.0,,East,Graduate,,2856639.01,"₹1,019,479",Medical,692.1,1,89,103.46,2026-05-21,0
C7,30.0,Male,East,Secondary,Salaried,652065.09,"₹559,230",Medical,650.5,2,134,41.84,2025-08-29,0
C8,28.0,Male,West,Secondary,Self-Employed,813124.77,"₹50,000",Home,477.7,3,93,46.82,2015-02-28,0
C9,63.0,Female,North,Secondary,Salaried,230830.48,,Business,598.4,1,99,17.08,2024-07-01,0
C10,47.0,Female,North,Primary,Salaried,408433.8,"₹185,780",Home,,2,119,99.65,2017-03-13,0
C11,59.0,Female,North,Primary,Self-Employed,205254.98,"₹255,054",Car,742.5,2,49,50.74,2018-06-22,0
C12,36.0,Male,North,Primary,Business,,"₹572,567",Medical,703.4,4,139,52.67,2017-09-09,1
C13,33.0,Female,North,Primary,Unemployed,821702.64,"₹98,043",Home,675.8,4,1,55.8,2017-03-30,0
C14,52.0,,East,Secondary,Business,404239.3,"₹673,886",Education,728.9,8,93,19.55,2018-01-05,1
C15,,Male,South,Graduate,Business,832212.26,"₹397,573",Medical,808.2,0,61,50.0,2024-11-28,0
C16,63.0,Male,North,Primary,Salaried,334785.04,"₹98,531",Medical,709.7,5,99,77.12,2022-12-07,0
C17,44.0,Female,South,Secondary,Self-Employed,813032.05,"₹577,186",Car,806.3,6,102,37.35,2020-02-08,0
C18,19.0,Female,South,Post-Graduate,Business,,"₹187,789",Home,825.1,2,98,73.83,2020-12-14,0
C19,24.0,Female,West,Graduate,Business,416469.51,"₹473,224",Education,850.9,0,79,106.01,2024-02-28,0
C20,43.0,Female,East,Secondary,Self-Employed,80143.95,"₹1,512,209",Business,644.7,5,90,32.73,2022-03-24,1
C21,46.0,Female,South,Post-Graduate,Self-Employed,677900.78,"₹367,560",Other,686.5,5,97,72.31,2019-05-12,0
C22,62.0,Male,West,Post-Graduate,Self-Employed,106295.47,"₹520,134",Business,699.7,0,101,17.57,2022-02-12,1
C23,57.0,Female,West,Post-Graduate,,944978.52,"₹102,180",Car,568.7,2,119,26.73,2016-10-22,0
C24,27.0,Male,West,Secondary,Self-Employed,182190.24,,Medical,710.7,0,58,19.43,2024-05-25,0
C25,65.0,Female,South,Post-Graduate,Self-Employed,272802.67,"₹1,091,675",Other,776.7,0,4,55.5,2016-11-18,1
C26,45.0,Male,West,Secondary,Salaried,306509.25,"₹50,000",Education,642.9,0,125,34.7,2016-03-02,0
C27,32.0,Female,North,Primary,Salaried,105917.47,"₹70,446",Business,,6,145,17.48,2023-06-02,0
C28,63.0,Male,North,Secondary,Salaried,736641.57,"₹333,599",Home,777.5,6,114,14.58,2025-12-29,0
C29,,Male,West,Secondary,Unemployed,197400.1,"₹2,780,021",Car,534.1,4,76,82.49,2025-02-09,1
C30,66.0,Female,West,Graduate,Salaried,494245.19,,Other,734.0,5,55,41.0,2020-05-31,0
C31,44.0,Female,South,Post-Graduate,Unemployed,465091.3,"₹246,835",Education,610.9,5,140,28.88,2021-11-16,0
C32,32.0,Male,South,Graduate,Salaried,690506.62,"₹129,408",Home,677.9,8,80,27.28,2021-10-12,0
C33,63.0,Female,South,Graduate,Salaried,681780.18,"₹268,577",Business,595.4,3,180,34.42,2023-12-27,0
C34,22.0,Female,North,Secondary,Self-Employed,234477.28,,Education,740.4,0,149,22.14,2024-08-13,0
C35,54.0,Female,North,Primary,Self-Employed,631982.77,"₹122,398",Other,577.3,5,122,6.24,2016-08-06,0
C36,32.0,Male,South,Post-Graduate,Salaried,,"₹142,425",Medical,693.4,2,110,85.07,2021-02-08,0
C37,52.0,Female,West,Primary,Salaried,578666.51,"₹2,065,518",Education,814.9,3,29,17.78,2024-12-01,1
C38,29.0,Female,West,Post-Graduate,Salaried,466399.64,"₹144,937",Business,,1,55,20.64,2017-08-07,0
C39,50.0,Male,West,Post-Graduate,Salaried,255389.35,"₹672,185",Medical,505.3,0,83,27.57,2015-04-23,1
C40,44.0,Male,South,Primary,Unemployed,189603.88,"₹285,028",Education,641.4,4,140,56.34,2016-07-25,1
C41,67.0,Male,East,Graduate,Salaried,326920.85,"₹92,567",Business,585.1,1,78,69.6,2020-03-28,0
C42,,Male,West,Post-Graduate,Unemployed,639489.13,"₹224,853",Other,726.6,3,86,63.36,2023-12-01,0
C43,23.0,Male,West,Graduate,Unemployed,909532.44,"₹1,516,899",Medical,,0,99,33.55,2024-03-29,1
C44,61.0,Male,South,Secondary,Salaried,637768.97,"₹297,419",Other,616.1,0,104,97.97,2021-06-14,0
C45,52.0,Male,North,Post-Graduate,,459308.9,"₹225,438",Car,674.7,2,85,232.8,2021-06-02,1
C46,56.0,Male,South,Secondary,Business,1198493.42,"₹1,222,897",Education,686.2,1,130,57.16,2017-01-08,0
C47,38.0,Other,West,Secondary,Self-Employed,167094.28,"₹520,295",Car,,8,113,32.14,2016-09-08,1
C48,66.0,Male,West,Graduate,Salaried,548215.55,"₹569,230",Other,555.7,4,108,95.49,2019-12-19,1
C49,22.0,Female,West,Graduate,Unemployed,251162.99,"₹228,250",Education,647.1,0,77,122.43,2024-02-26,1
C50,20.0,Female,East,Secondary,Unemployed,452707.89,"₹970,152",Other,515.3,5,101,61.4,2019-10-04,1
C51,,Female,North,Primary,Business,334278.76,"₹168,529",Car,658.6,4,169,24.49,2020-08-15,0
C52,25.0,Female,North,Secondary,Salaried,199345.76,"₹110,892",Medical,,0,102,49.11,2019-12-20,0
C53,20.0,Female,East,Post-Graduate,Salaried,157239.66,"₹527,143",Business,709.4,3,119,56.98,2022-04-17,1
C54,56.0,Female,East,Post-Graduate,Unemployed,2001423.27,"₹463,198",Education,705.7,1,127,35.78,2024-07-28,0
C55,60.0,Male,East,Secondary,Unemployed,2851813.58,"₹406,787",Car,733.8,4,90,48.18,2026-05-19,0
C56,27.0,Female,West,Secondary,Salaried,314513.54,"₹192,863",Home,519.0,3,34,64.26,2020-12-30,0
C57,29.0,Male,East,Graduate,Business,,"₹370,888",Home,698.1,6,46,86.29,2016-11-26,0
C58,27.0,Male,North,Primary,Business,436619.1,"₹253,376",Home,773.2,6,128,50.67,2021-12-01,0
C59,32.0,Male,North,Primary,Self-Employed,,"₹1,710,518",Education,679.1,1,76,49.51,2024-05-14,1
