customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,customer_category,customer_code,join_year,join_month,join_day,join_weekday,edu_sklearn,gender_enc,income_bin,age_binned_sk,credit_score_q,annual_income_log,annual_income_sqrt,annual_income_reciprocal,loan_amount_power,debt_income_ratio,avg_monthly_transactions,spending_to_income_ratio
C1,58.0,Male,North,Graduate,Self-Employed,118288.57,431086.0,Car,661.5,2,60,17.66,2015-02-23,1,C,1,2015,2,23,Monday,2.0,1,Low Income,3.0,Low,11.680890880399183,343.9310541373082,8.453830713899796e-06,0.3516100681421307,3.644,5.0,0.00014929591252984121
C2,44.308510638297875,Male,East,Graduate,Self-Employed,95832.28,224657.0,Medical,598.8,6,101,19.56,2023-02-10,1,C,2,2023,2,10,Friday,2.0,1,Low Income,2.0,Very Low,11.470365294029538,309.5678923919598,1.043478841588225e-05,-0.3581039958086244,2.344,8.417,0.00020410659122375047
C3,30.0,Female,North,Primary,Self-Employed,370042.99,133743.0,Other,643.8,0,57,22.62,2021-01-20,0,C,3,2021,1,20,Wednesday,0.0,0,Low Income,0.0,Low,12.821377169445219,608.3115895657422,2.7023814114640802e-06,-0.9744069614146275,0.361,4.75,6.112803271857683e-05
C4,62.0,Female,South,Graduate,Salaried,353797.46,130759.0,Other,605.8,0,98,19.99,2020-11-22,0,C,4,2020,11,22,Sunday,2.0,0,Low Income,3.0,Very Low,12.776482707956687,594.8087591823106,2.8264679275313973e-06,-1.0023183553247381,0.37,8.167,5.650125357033371e-05
C5,44.308510638297875,Male,West,Graduate,Self-Employed,482108.54,158491.0,Other,615.2,1,60,121.41,2017-07-27,0,C,5,2017,7,27,Thursday,2.0,1,Low Income,2.0,Very Low,13.085926628623563,694.3403632225337,2.0742174071062773e-06,-0.7673849904666257,0.329,5.0,0.00025183125774955157
C6,52.0,Male,East,Graduate,Salaried,2856639.01,1019479.0,Medical,692.1,1,89,103.46,2026-05-21,0,C,6,2026,5,21,Thursday,2.0,1,Low Income,2.0,Medium,14.86515667047375,1690.1594628910018,3.500616096180772e-07,1.1890445639083558,0.357,7.417,3.6217386809402985e-05
C7,30.0,Male,East,Secondary,Salaried,652065.09,559230.0,Medical,650.5,2,134,41.84,2025-08-29,0,C,7,2025,8,29,Friday,1.0,1,Low Income,0.0,Low,13.387901200802377,807.5054736656588,1.5335868792072903e-06,0.6162665059796935,0.858,11.167,6.416537342920782e-05
C8,28.0,Male,West,Secondary,Self-Employed,813124.77,50000.0,Home,477.7,3,93,46.82,2015-02-28,0,C,8,2015,2,28,Saturday,1.0,1,Low Income,0.0,Very Low,13.608641075212333,901.7343123115589,1.2298220483160926e-06,-2.2832441204395906,0.061,7.75,5.7580339115730045e-05
C9,63.0,Female,North,Secondary,Salaried,230830.48,289879.0,Business,598.4,1,99,17.08,2024-07-01,0,C,9,2024,7,1,Monday,1.0,0,Low Income,3.0,Very Low,12.349443199462423,480.4482074063759,4.332164746333559e-06,-0.07228425995372353,1.256,8.25,7.39936944202516e-05
C10,47.0,Female,North,Primary,Salaried,408433.8,185780.0,Home,728.6199999999999,2,119,99.65,2017-03-13,0,C,10,2017,3,13,Monday,0.0,0,Low Income,2.0,High,12.920087572220297,639.0882568159111,2.448371196577765e-06,-0.5783670283353044,0.455,9.917,0.00024398078709450592
C11,59.0,Female,North,Primary,Self-Employed,205254.98,255054.0,Car,742.5,2,49,50.74,2018-06-22,0,C,11,2018,6,22,Friday,0.0,0,Low Income,3.0,High,12.232013162091228,453.0507477093488,4.871965240671672e-06,-0.2144437086295756,1.243,4.083,0.0002472047206844872
C12,36.0,Male,North,Primary,Business,1131251.198,572567.0,Medical,703.4,4,139,52.67,2017-09-09,1,C,12,2017,9,9,Saturday,0.0,1,Low Income,1.0,High,13.938835716977811,1063.602932489376,8.83976183001414e-07,0.63972997041783,0.506,11.583,4.655906671579056e-05
C13,33.0,Female,North,Primary,Unemployed,821702.64,98043.0,Home,675.8,4,1,55.8,2017-03-30,0,C,13,2017,3,30,Thursday,0.0,0,Low Income,1.0,Medium,13.619135073750043,906.4781519705812,1.2169837777522805e-06,-1.3668920982583135,0.119,0.083,6.790777744124078e-05
