trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,Z-Score (fare_amount),Z-Score (distance_km),log_transform_fare,log_transform_dis,sqrt_duration,restored_duration,fare_per_km,age,gender,city,total_rides,cancelled_rides,avg_rating,avg_ride_distance,avg_ride_fare,days_since_signup,ride_cancellation_rate,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type,traffic_level,ordinal_traffic_index
T00001,R0037,Zone_10,11.83,74.59,104.88,Cash,2023-11-13,0,-0.34751734901055215,0.8049105737736879,4.662306377358901,2.551786178627545,8.636550237218563,75.0,8.865595942519018,32,Other,Ahmedabad,489.0,6,3.36,9.76125,2.6884662576687117,2126,0.012269938650306749,,,,,,,
T00002,R0104,Zone_9,3.86,35.59,40.48,Cash,2023-07-28,0,-1.1005400573808048,-0.9857367454700674,3.7252113833613265,1.5810384379124023,5.965735495309862,36.0,10.487046632124352,52,Male,Kolkata,328.0,1,3.7,5.187777777777779,2.3335060975609756,1939,0.003048780487804878,,,,,,,
T00003,R0045,Zone_8,4.7,31.03,46.39,Cash,2024-01-14,0,-1.0314350231188762,-0.7970110556125071,3.858411235979497,1.7404661748405046,5.570457790882182,31.0,9.870212765957447,34,Other,Ahmedabad,100.0,16,4.88,9.725555555555555,15.298499999999999,1163,0.16,,,,,,,
T00004,R0089,Zone_2,11.06,59.48,257.64,Cash,2023-12-13,1,1.4386899325211213,0.6319120247375911,5.555437133417177,2.4898941912990393,7.712327793863536,59.0,23.294755877034355,48,Other,Surat,308.0,6,3.91,9.981111111111112,4.595941558441559,1457,0.01948051948051948,Zone_2,6371.0,0.91,58.4,Residential,Low,0.0
T00005,R0003,Zone_5,7.28,67.59,72.74,UPI,2023-03-15,0,-0.7233271292437807,-0.21735357962142948,4.300545392805998,2.1138429683971687,8.221313763626833,68.0,9.991758241758241,34,Male,Pune,45.0,9,3.76,6.768000000000001,21.593555555555557,1232,0.2,Zone_5,2590.0,1.31,43.9,Business,Medium,1.0
T00006,R0255,Zone_2,14.58,80.74,282.52,UPI,2024-02-10,0,1.729609264574722,1.4227625346168906,5.647282667416716,2.7459880404426023,8.985543945694106,81.0,19.377229080932782,37,Female,Bengaluru,475.0,42,3.12,9.0025,2.6573052631578946,1899,0.08842105263157894,Zone_2,6371.0,0.91,58.4,Residential,Low,0.0
T00007,R0224,Zone_4,4.48,40.07,58.38,Credit Card,2023-08-21,0,-0.8912371617313091,-0.8464392124799632,4.083957469335614,1.7011051009599243,6.330086887239385,40.0,13.03125,29,Female,Ahmedabad,200.0,1,4.31,5.958571428571429,2.5707,2235,0.005,Zone_4,4038.0,2.46,48.2,Business,High,2.0
T00008,R0039,Zone_3,11.75,96.11,102.35,Wallet,2024-03-10,0,-0.37710038398224066,0.7869366985491583,4.638121286127777,2.545531271604435,9.803570778037969,96.0,8.71063829787234,24,Male,Chennai,190.0,14,4.2,4.837142857142857,2.674,1034,0.07368421052631578,Zone_3,12971.0,2.11,38.0,Business,High,2.0
T00009,R0223,Zone_5,9.71,66.61,175.75,Credit Card,2024-05-20,0,0.4811584171726746,0.3286028803236553,5.174736304776682,2.3711778844596574,8.161494961096281,67.0,18.099897013388258,30,Female,Surat,158.0,10,4.04,7.05,6.248164556962026,2484,0.06329113924050633,Zone_5,2590.0,1.31,43.9,Business,Medium,1.0
T00010,R0236,Zone_5,7.37,51.09,98.34,UPI,2023-03-01,0,-0.4239889097674069,-0.19713296999383378,4.598548309679204,2.124653884501384,7.147726911403373,51.0,13.343283582089553,28,Male,Ahmedabad,61.0,1,3.36,4.546363636363636,12.599016393442623,2229,0.01639344262295082,Zone_5,2590.0,1.31,43.9,Business,Medium,1.0
T00011,R0191,Zone_10,13.88,88.3,172.04,Credit Card,2023-09-09,0,0.4377777611469969,1.2654911264022575,5.153522781644804,2.700018029404946,9.396807968666806,88.0,12.394812680115272,33,Other,Surat,87.0,6,4.56,7.5609090909090915,15.227701149425286,2225,0.06896551724137931,,,,,,,
