Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP100001,Finance,46,105445,8,39.3,59,Yes
EMP100002,Operations,38,91015,11,40.6,74,Yes
EMP100003,Marketing,30,81949,9,43.5,61,No
EMP100004,Sales,39,101181,17,34.5,85,No
EMP100005,IT,31,100729,12,44.5,72,No
EMP100006,IT,29,94267,11,43.7,62,No
EMP100007,IT,26,86531,8,40.3,56,No
EMP100008,Operations,22,86529,13,43.4,82,Yes
EMP100009,Sales,32,85349,7,44.1,52,No
EMP100010,Marketing,36,79939,8,49.2,74,No
EMP100011,IT,34,97265,11,54.5,94,Yes
EMP100012,Operations,32,95119,14,36.7,81,Yes
EMP100013,Marketing,27,73031,7,35.5,51,No
EMP100014,IT,40,106564,11,42.5,90,Yes
EMP100015,IT,24,89329,6,31.6,45,No
EMP100016,IT,41,111402,12,45.2,86,Yes
EMP100017,HR,27,72294,7,42.6,55,No
EMP100018,Sales,29,71947,9,43.8,80,Yes
EMP100019,Finance,23,78076,5,40.5,54,No
EMP100020,HR,31,95512,9,43.3,70,Yes
EMP100021,Sales,43,110674,10,44.4,79,Yes
EMP100022,IT,39,105759,12,43.0,78,Yes
EMP100023,HR,43,106486,9,35.3,53,No
EMP100024,Finance,39,100165,9,42.9,85,Yes
EMP100025,Finance,26,88039,10,51.3,86,No
EMP100026,Marketing,32,91995,14,43.2,74,No
EMP100027,IT,29,92840,11,42.7,73,No
EMP100028,Sales,46,92711,10,49.8,92,Yes
EMP100029,Sales,25,83925,9,38.3,54,No
EMP100030,IT,42,103018,8,46.4,68,Yes
EMP100031,Sales,42,105672,13,39.3,83,Yes
EMP100032,IT,50,107040,3,47.4,67,No
EMP100033,IT,32,88513,7,46.0,61,No
EMP100034,Operations,41,95383,7,39.9,54,No
EMP100035,Operations,53,115418,7,40.7,71,No
EMP100036,Marketing,30,93629,14,46.9,82,Yes
EMP100037,HR,23,64279,7,32.7,31,No
EMP100038,IT,22,78259,7,39.8,51,No
EMP100039,Sales,41,101404,10,45.1,84,Yes
EMP100040,Finance,22,74607,9,40.5,54,No
EMP100041,IT,32,106647,15,42.7,97,Yes
EMP100042,Finance,38,99307,7,31.8,57,No
EMP100043,IT,36,92725,5,37.7,44,No
EMP100044,Operations,38,93055,10,45.4,100,Yes
EMP100045,HR,37,82077,8,38.2,65,Yes
EMP100046,Sales,45,107113,9,35.5,65,No
EMP100047,HR,27,66999,9,47.3,64,Yes
EMP100048,Sales,30,83901,11,44.6,69,No
EMP100049,Sales,29,70759,7,36.6,57,Yes
EMP100050,IT,42,99604,5,42.7,59,Yes
EMP100051,Operations,42,107371,11,36.7,59,No
EMP100052,Marketing,39,104589,11,41.2,63,No
EMP100053,Operations,44,104892,6,42.9,64,No
EMP100054,Operations,26,73457,8,38.0,51,Yes
EMP100055,Sales,48,108300,9,45.7,71,Yes
EMP100056,Operations,47,94986,5,46.5,50,No
EMP100057,IT,41,113486,8,43.3,58,Yes
EMP100058,IT,49,130021,13,44.1,91,Yes
EMP100059,IT,22,83608,9,34.7,50,No
EMP100060,HR,31,71084,7,48.8,68,No
EMP100061,Finance,29,61912,6,41.5,44,No
EMP100062,HR,41,81798,9,37.3,64,No
EMP100063,Marketing,27,69286,10,42.7,67,No
EMP100064,Finance,41,86523,5,45.7,61,No
EMP100065,HR,46,109473,10,44.6,88,Yes
EMP100066,Sales,41,87030,7,36.6,39,No
EMP100067,IT,37,99634,12,45.8,81,No
EMP100068,Marketing,27,74877,10,41.7,82,No
EMP100069,IT,28,105391,9,44.5,60,No
EMP100070,Operations,45,101825,9,38.0,62,No
